IND_ID,Strain_ID
IND363,HpGP-SPA-002
IND364,HpGP-JAP-029
IND365,HpGP-SPA-313
IND366,HpGP-CAN-010
IND367,HpGP-HON-021
IND368,HpGP-FRA-018
IND369,HpGP-GRE-001
IND370,HpGP-POR-012
IND371,30950
IND372,NP04
IND373,HpGP-LIT-021
IND374,HpGP-LAT-017
IND375,HP08061
IND376,Mandalay38
IND377,G27
IND378,HpGP-MEX-046
IND379,HpGP-SPA-320
IND380,GAM105Ai
IND381,HpGP-POL-002
IND382,HpGP-RUS-002
IND383,HpGP-SPA-604
IND384,HpGP-MAL-022
IND385,HpGP-JOR-005
IND386,HpGP-JAP-114
IND387,HpGP-SPA-803
IND388,HpGP-ALG-007
IND389,HpGP-ITA-016
IND390,HpGP-SPA-203
IND391,HpGP-KOR-042
IND392,HpGP-BRA-018
IND393,HpGP-KOR-008
IND394,HpGP-LAT-034
IND395,HpGP-CHI-209
IND396,HpGP-KOR-028
IND397,SA251C
IND398,HpGP-GER-004
IND399,HpGP-TUR-010
IND400,HpGP-MEX-006
IND401,HpGP-LAT-015
IND402,HpGP-GER-006
IND403,HpGP-SPA-202
IND404,HpGP-SPA-311
IND405,HpGP-SPA-611
IND406,HpGP-ITA-023
IND407,HpGP-SPA-104
IND408,HpGP-VNM-006
IND409,31181
IND410,HpGP-SWE-036
IND411,PeCan18
IND412,HpGP-USA-411
IND413,HpGP-CAN-008
IND414,HpGP-SWT-011
IND415,HpGP-SPA-303
IND416,HpGP-GER-005
IND417,Hp-P-11
IND418,HpGP-POL-102
IND419,HpGP-CHI-004
IND420,HE-NC24-6
IND421,NYPt310
IND422,HpGP-COL-205
IND423,HpGP-CHI-114
IND424,HpGP-JOR-003
IND425,HpGP-KOR-002
IND426,HpGP-KOR-043
IND427,Pt-7901
IND428,HpGP-GRE-003
IND429,HpGP-CHI-008
IND430,HpGP-MEX-008
IND431,HpGP-TUR-005
IND432,HpGP-SWE-032
IND433,HpGP-MAL-004
IND434,mong49
IND435,Hp-A11
IND436,HpGP-IDN-004
IND437,HpGP-ISR-001
IND438,HpGP-GRE-042
IND439,HpGP-KOR-052
IND440,HpGP-ITA-015
IND441,HpGP-JAP-002
IND442,HpGP-JOR-001
IND443,HpGP-SWE-031
IND444,SA146C
IND445,HpGP-SPA-201
IND446,HpGP-SGP-033
IND447,HpGP-GMB-008
IND448,HpGP-ITA-030
IND449,HpGP-NGA-010
IND450,Nic21_C
IND451,HpGP-ISR-009
IND452,HpGP-PER-018
IND453,HpGP-USA-415
IND454,HpGP-TUR-014
IND455,Aklavik117
IND456,HpGP-BGD-009
IND457,HpGP-MAL-006
IND458,HpGP-SGP-012
IND459,PeCan4
IND460,HpGP-GRE-044
IND461,HpGP-SPA-323
IND462,SA161C
IND463,HpGP-NPL-013
IND464,HpGP-LIT-003
IND465,HpGP-MMR-007
IND466,HpGP-FRA-021
IND467,HpGP-POR-114
IND468,HpGP-KOR-049
IND469,XZ274
IND470,HpGP-JOR-002
IND471,HpGP-USA-434
IND472,GAM239Bi
IND473,HpGP-KOR-050
IND474,448
IND475,HpGP-JOR-009
IND476,HpGP-COG-006
IND477,CAN-172
IND478,Sat464
IND479,HpGP-TUR-011
IND480,HpGP-NPL-003
IND481,HpGP-TUR-021
IND482,CAN-095
IND483,HpGP-USA-427
IND484,Yangon222
IND485,HpGP-SPA-204
IND486,HpGP-ITA-013
IND487,HpGP-JAP-106
IND488,HpGP-USA-409
IND489,HpGP-ITA-006
IND490,HpGP-SPA-509
IND491,HpGP-HON-004
IND492,HpGP-LIT-012
IND493,HpGP-SPA-304
IND494,HpGP-MAL-003
IND495,35A
IND496,BURYAT49
IND497,altai11
IND498,HpGP-ALG-001
IND499,HpGP-COL-108
IND500,HpGP-IDN-008
IND501,HpGP-POL-009
IND502,HpGP-USA-208
IND503,HpGP-JAP-101
IND504,HpGP-HON-005
IND505,HpGP-CHN-006
IND506,SA45C
IND507,HpGP-POR-005
IND508,HpGP-LAT-025
IND509,HpGP-IDN-009
IND510,SW7C
IND511,HpGP-IND-004
IND512,HpGP-LAT-033
IND513,Hp-A27
IND514,HpGP-ITA-022
IND515,HpGP-KOR-006
IND516,HpGP-TUR-004
IND517,HpGP-USA-433
IND518,HpGP-SGP-019
IND519,HpGP-MAL-002
IND520,HpGP-ALG-009
IND521,HpGP-ARG-008
IND522,HpGP-ITA-018
IND523,HpGP-KOR-012
IND524,HpGP-COL-202
IND525,HpGP-BRA-005
IND526,HpGP-SWE-015
IND527,HpGP-SWE-021
IND528,HpGP-BRA-015
IND529,HpGP-NPL-001
IND530,HpGP-LAT-011
IND531,HpGP-SWT-002
IND532,HpGP-USA-406
IND533,HpGP-JAP-115
IND534,HpGP-SPA-414
IND535,HpGP-USA-206
IND536,HpGP-PER-020
IND537,HpGP-ISR-005
IND538,HpGP-ZAF-004
IND539,HpGP-CHI-010
IND540,HpGP-COG-001
IND541,HpGP-GRE-005
IND542,HpGP-ITA-019
IND543,HpGP-KOR-115
IND544,HpGP-POR-112
IND545,HpGP-SGP-009
IND546,HpGP-SWE-007
IND547,VE-HV055
IND548,HpGP-SGP-017
IND549,HpGP-SPA-103
IND550,SSR8
IND551,HpGP-SPA-308
IND552,HpGP-GER-009
IND553,Ca-97-30
IND554,HpGP-JAP-107
IND555,HpGP-LAT-028
IND556,HpGP-COL-203
IND557,HpGP-BGD-010
IND558,HpGP-COL-209
IND559,HpGP-LAT-031
IND560,HpGP-SWE-033
IND561,HpGP-USA-201
IND562,HpGP-CHI-125
IND563,HpGP-FRA-014
IND564,HpGP-CHI-120
IND565,HpGP-COL-310
IND566,HpGP-PER-119
IND567,HpGP-SPA-004
IND568,HpGP-USA-401
IND569,HpGP-NGA-019
IND570,29009
IND571,HpGP-MAL-012
IND572,HpGP-SPA-012
IND573,SA172C
IND574,HpGP-GMB-009
IND575,HpGP-TWN-001
IND576,HP13068
IND577,HpGP-BRA-003
IND578,HpGP-HON-001
IND579,HpGP-SPA-209
IND580,HpGP-SWE-003
IND581,HpGP-COL-104
IND582,GAM119Bi
IND583,HpGP-PER-121
IND584,HpGP-SPA-107
IND585,HpGP-POL-010
IND586,altai59
IND587,B25
IND588,HpGP-SGP-006
IND589,HpGP-SPA-019
IND590,BURYAT14
IND591,HpGP-CHN-001
IND592,HpGP-CRI-004
IND593,HpGP-SPA-007
IND594,HpGP-MMR-004
